Hall,Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,HR_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,HR_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,HR_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1,HR_Dual_Chain_1
off,off,off,off,off,off,on,60,60,36,60,66,62,36,70,54,56,28,58,54,56,28,58
off,off,off,off,off,on,on,60,60,36,60,66,62,36,70,54,56,28,58,54,56,28,58
off,off,off,off,on,off,on,50,50,36,50,66,62,36,70,48,48,28,48,48,48,28,48
off,off,off,off,on,on,on,50,50,36,50,66,62,36,70,48,48,28,48,48,48,28,48
off,off,off,on,off,off,on,50,50,36,50,66,62,36,70,48,48,28,48,48,48,28,48
off,off,off,on,off,on,on,50,50,36,50,66,62,36,70,48,48,28,48,48,48,28,48
off,off,off,on,on,off,on,42,42,36,42,64,62,36,64,40,40,28,40,40,40,28,40
off,off,off,on,on,on,on,42,42,36,42,64,62,36,64,40,40,28,40,40,40,28,40
off,off,on,off,off,off,on,42,42,36,42,64,62,36,64,40,40,28,40,40,40,28,40
off,off,on,off,off,on,on,42,42,36,42,64,62,36,64,40,40,28,40,40,40,28,40
off,off,on,off,on,off,on,42,42,36,42,64,62,36,64,40,40,28,40,40,40,28,40
off,off,on,off,on,on,on,42,42,36,42,64,62,36,64,40,40,28,40,40,40,28,40
off,off,on,on,off,off,on,42,42,36,42,64,62,36,64,40,40,28,40,40,40,28,40
off,off,on,on,off,on,on,42,42,36,42,64,62,36,64,40,40,28,40,40,40,28,40
off,off,on,on,on,off,on,42,42,36,42,64,62,36,64,40,40,28,40,40,40,28,40
off,off,on,on,on,on,on,42,42,36,42,64,62,36,64,40,40,28,40,40,40,28,40
off,on,off,off,off,off,any,32,32,32,32,66,62,36,70,28,28,28,28,28,28,28,28
off,on,off,off,off,on,any,32,32,32,32,66,62,36,70,28,28,28,28,28,28,28,28
off,on,off,off,on,off,any,32,32,32,32,66,62,36,70,28,28,28,28,28,28,28,28
off,on,off,off,on,on,any,32,32,32,32,66,62,36,70,28,28,28,28,28,28,28,28
off,on,off,on,off,off,any,32,32,32,32,66,62,36,70,28,28,28,28,28,28,28,28
off,on,off,on,off,on,any,32,32,32,32,66,62,36,70,28,28,28,28,28,28,28,28
off,on,off,on,on,off,any,32,32,32,32,66,62,36,70,28,28,28,28,28,28,28,28
off,on,off,on,on,on,any,32,32,32,32,66,62,36,70,28,28,28,28,28,28,28,28
off,on,on,off,off,off,any,32,32,32,32,66,62,36,70,28,28,28,28,28,28,28,28
off,on,on,off,off,on,any,32,32,32,32,66,62,36,70,28,28,28,28,28,28,28,28
off,on,on,off,on,off,any,32,32,32,32,66,62,36,70,28,28,28,28,28,28,28,28
off,on,on,off,on,on,any,32,32,32,32,66,62,36,70,28,28,28,28,28,28,28,28
off,on,on,on,off,off,any,32,32,32,32,66,62,36,70,28,28,28,28,28,28,28,28
off,on,on,on,off,on,any,32,32,32,32,66,62,36,70,28,28,28,28,28,28,28,28
off,on,on,on,on,off,any,32,32,32,32,66,62,36,70,28,28,28,28,28,28,28,28
off,on,on,on,on,on,any,32,32,32,32,66,62,36,70,28,28,28,28,28,28,28,28
off,off,off,any,off,any,off,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
off,off,on,any,off,any,off,42,42,36,42,64,62,36,64,40,40,28,40,40,40,28,40
off,off,off,any,on,any,off,42,42,36,42,64,62,36,64,40,40,28,40,40,40,28,40
on,off,off,off,off,off,on,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,off,off,off,off,on,on,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,off,off,off,on,off,on,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,off,off,off,on,on,on,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,off,off,on,off,off,on,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,off,off,on,off,on,on,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,off,off,on,on,off,on,60,60,36,60,66,62,36,70,54,56,28,58,54,56,28,58
on,off,off,on,on,on,on,60,60,36,60,66,62,36,70,54,56,28,58,54,56,28,58
on,off,on,off,off,off,on,60,60,36,60,66,62,36,70,54,56,28,58,54,56,28,58
on,off,on,off,off,on,on,60,60,36,60,66,62,36,70,54,56,28,58,54,56,28,58
on,off,on,off,on,off,on,60,60,36,60,66,62,36,70,54,56,28,58,54,56,28,58
on,off,on,off,on,on,on,60,60,36,60,66,62,36,70,54,56,28,58,54,56,28,58
on,off,on,on,off,off,on,60,60,36,60,66,62,36,70,54,56,28,58,54,56,28,58
on,off,on,on,off,on,on,60,60,36,60,66,62,36,70,54,56,28,58,54,56,28,58
on,off,on,on,on,off,on,60,60,36,60,66,62,36,70,54,56,28,58,54,56,28,58
on,off,on,on,on,on,on,60,60,36,60,66,62,36,70,54,56,28,58,54,56,28,58
on,on,off,off,off,off,any,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,on,off,off,off,on,any,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,on,off,off,on,off,any,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,on,off,off,on,on,any,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,on,off,on,off,off,any,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,on,off,on,off,on,any,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,on,off,on,on,off,any,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,on,off,on,on,on,any,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,on,on,off,off,off,any,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,on,on,off,off,on,any,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,on,on,off,on,off,any,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,on,on,off,on,on,any,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,on,on,on,off,off,any,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,on,on,on,off,on,any,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,on,on,on,on,off,any,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,on,on,on,on,on,any,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,off,off,any,off,any,off,66,62,36,70,66,62,36,70,54,56,28,58,54,56,28,58
on,off,on,any,off,any,off,60,60,36,60,66,62,36,70,54,56,28,58,54,56,28,58
