Hall,Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,HR_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,HR_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,HR_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1,HR_Dual_Chain_1
off,off,off,off,off,off,on,60,60,60,60,76,68,76,76,58,58,58,58,58,58,58,58
off,off,off,off,off,on,on,60,60,60,60,76,68,76,76,58,58,58,58,58,58,58,58
off,off,off,off,on,off,on,50,50,50,50,76,68,76,76,48,48,48,48,48,48,48,48
off,off,off,off,on,on,on,50,50,50,50,76,68,76,76,48,48,48,48,48,48,48,48
off,off,off,on,off,off,on,50,50,50,50,76,68,76,76,48,48,48,48,48,48,48,48
off,off,off,on,off,on,on,50,50,50,50,76,68,76,76,48,48,48,48,48,48,48,48
off,off,off,on,on,off,on,42,42,42,42,64,64,64,64,40,40,40,40,40,40,40,40
off,off,off,on,on,on,on,42,42,42,42,64,64,64,64,40,40,40,40,40,40,40,40
off,off,on,off,off,off,on,42,42,42,42,64,64,64,64,40,40,40,40,40,40,40,40
off,off,on,off,off,on,on,42,42,42,42,64,64,64,64,40,40,40,40,40,40,40,40
off,off,on,off,on,off,on,42,42,42,42,64,64,64,64,40,40,40,40,40,40,40,40
off,off,on,off,on,on,on,42,42,42,42,64,64,64,64,40,40,40,40,40,40,40,40
off,off,on,on,off,off,on,42,42,42,42,64,64,64,64,40,40,40,40,40,40,40,40
off,off,on,on,off,on,on,42,42,42,42,64,64,64,64,40,40,40,40,40,40,40,40
off,off,on,on,on,off,on,42,42,42,42,64,64,64,64,40,40,40,40,40,40,40,40
off,off,on,on,on,on,on,42,42,42,42,64,64,64,64,40,40,40,40,40,40,40,40
off,on,off,off,off,off,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,on,off,off,off,on,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,on,off,off,on,off,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,on,off,off,on,on,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,on,off,on,off,off,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,on,off,on,off,on,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,on,off,on,on,off,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,on,off,on,on,on,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,on,on,off,off,off,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,on,on,off,off,on,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,on,on,off,on,off,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,on,on,off,on,on,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,on,on,on,off,off,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,on,on,on,off,on,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,on,on,on,on,off,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,on,on,on,on,on,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,off,off,any,off,any,off,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
off,off,on,any,off,any,off,42,42,42,42,64,64,64,64,40,40,40,40,40,40,40,40
off,off,off,any,on,any,off,42,42,42,42,64,64,64,64,40,40,40,40,40,40,40,40
on,off,off,off,off,off,on,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
on,off,off,off,off,on,on,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
on,off,off,off,on,off,on,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
on,off,off,off,on,on,on,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
on,off,off,on,off,off,on,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
on,off,off,on,off,on,on,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
on,off,off,on,on,off,on,60,60,60,60,76,68,76,76,58,58,58,58,58,58,58,58
on,off,off,on,on,on,on,60,60,60,60,76,68,76,76,58,58,58,58,58,58,58,58
on,off,on,off,off,off,on,60,60,60,60,76,68,76,76,58,58,58,58,58,58,58,58
on,off,on,off,off,on,on,60,60,60,60,76,68,76,76,58,58,58,58,58,58,58,58
on,off,on,off,on,off,on,60,60,60,60,76,68,76,76,58,58,58,58,58,58,58,58
on,off,on,off,on,on,on,60,60,60,60,76,68,76,76,58,58,58,58,58,58,58,58
on,off,on,on,off,off,on,60,60,60,60,76,68,76,76,58,58,58,58,58,58,58,58
on,off,on,on,off,on,on,60,60,60,60,76,68,76,76,58,58,58,58,58,58,58,58
on,off,on,on,on,off,on,60,60,60,60,76,68,76,76,58,58,58,58,58,58,58,58
on,off,on,on,on,on,on,60,60,60,60,76,68,76,76,58,58,58,58,58,58,58,58
on,on,off,off,off,off,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
on,on,off,off,off,on,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
on,on,off,off,on,off,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
on,on,off,off,on,on,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
on,on,off,on,off,off,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
on,on,off,on,off,on,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
on,on,off,on,on,off,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
on,on,off,on,on,on,any,76,68,76,76,76,68,76,76,76,68,76,76,76,68,76,76
